city,state,name,rating,address,days,phone
Woodinville,WA,Pallino Pastaria Company,- NA -,17848 Garden Way NE,SU  WE,(425) 488-7900
Woodinville,WA,Ruby's Diner,- NA -,13706 NE 175th St.,TU,(425) 489-1173
Vancouver,WA,Mongolian Grill,- NA -,316 SE 123rd Ave,SU  MO  TU  WE  TH  FR  SA,(360) 256-2468
Laramie,WY,McAlisters Deli,- NA -,2317 E Grand Ave,TU,(307) 745-3760
Tacoma,WA,IHOP,- NA -,10005 Lakewood Drive,SU  MO  TU  WE  TH  FR  SA,(253) 588-7898
Weirton,WV,Ponderosa Steakhouse,- NA -,224 Three Springs Dr.,TU,(304) 723-5086
Weirton,WV,Ponderosa Steakhouse,- NA -,224 Three Springs Dr,TU,(304) 723-5086
West Valley City,UT,Dennys Restaurant,- NA -,2222 W. 3500 S.,WE  SA,(801) 972-5830
West Allis,WI,Perkins,- NA -,2878 S 108th St,SA,(414) 545-0569
Wylie,TX,Dickey's Barbecue Pit,- NA -,1301 Century Way,SU,(972) 429-8525
Woods Cross,UT,Dennys Restaurant,- NA -,2487 South 800 West,WE  SA,(801) 292-3177
Williamsburg,VA,Hooters Of Williamsburg,- NA -,112 Bypass Rd,WE,(757) 221-9570
Sioux Falls,SD,IHOP,- NA -,3308 E 10th St,FR,(605) 275-3401
Sioux Falls,SD,IHOP,- NA -,4510 W 41st St,FR,(605) 362-6632
Sioux Falls,SD,Lonestar Steakhouse,- NA -,1801 W. 41st Street,TU,(605) 331-3648
Sevierville,TN,Woodys Bar B Q,- NA -,732 Dolly Parton Pkwy,MO,(865) 365-1222
West Columbia,SC,Atlanta Bread Co.,- NA -,108 Sunset Ct,TU,(803) 791-1150
West Columbia,SC,Shoneys,- NA -,2208 Airport Blvd,TU,(803) 936-1118
Nashville,TN,Applebees Neighborhood Bar And Grill,- NA -,718 Thompson Lane,TU,(615) 298-3298
Nashville,TN,Applebees Neighborhood Bar And Grill,- NA -,2401 Music Valley Drive,TU,(615) 467-0447
Nashville,TN,Applebees Neighborhood Bar And Grill,- NA -,335 Harding Place,TU,(615) 333-9012
Nashville,TN,Applebees Neighborhood Bar And Grill,- NA -,15545 Old Hickory Blvd,TU,(615) 843-1000
Nashville,TN,Applebees Neighborhood Bar And Grill,- NA -,7645 US Highway 70,TU,(615) 662-1881
Nashville,TN,Dickey's Barbecue Pit,- NA -,465 Opry Mills Drive,SU,(615) 514-3663
Nashville,TN,Tony Roma's,- NA -,465 Opry Mills Drive,TU,(615) 514-2668
Williamsport,PA,Perkins,- NA -,160 Via Bella St.,,(570) 323-4114
Summerville,SC,Chick-fil-A,- NA -,1312 N. Main Street,MO,(843) 695-1112
Summerville,SC,Moes Southwest Grill,- NA -,310 Azalea Square Blvd,TU,(843) 486-0553
Simpsonville,SC,Henrys Smokehouse,- NA -,123 N Main St,TU  WE  TH,(864) 967-0007
North Myrtle Beach,SC,Beef 'O' Brady's,- NA -,3914 Highway 17 S,TU,(843) 663-2334
Mount Pleasant,SC,King Street Grill,- NA -,"1136 Hungryneck Blvd, Ste I",MO,(843) 216-7272
Little River,SC,Captain Georges Seafood Restaurant,- NA -,3456 Sea Mountain Hwy,SU  MO  TU  WE  TH  FR  SA,(843) 916-2278
Lancaster,SC,Pizza Inn,- NA -,1107 N Main St,MO,(803) 283-3357
Myrtle Beach,SC,Beef 'O' Brady's,- NA -,8703 Highway 17 Byp S,TU,(843) 215-6523
Myrtle Beach,SC,Beef 'O' Brady's,- NA -,1205 N Ocean Blvd,TU,(843) 369-2222
Myrtle Beach,SC,Captain Georges Seafood Restaurant,- NA -,9701 N Kings Hwy,SU  MO  TU  WE  TH  FR  SA,(843) 916-2278
Myrtle Beach,SC,Captain Georges Seafood Restaurant,- NA -,2900 N Kings Hwy,SU  MO  TU  WE  TH  FR  SA,(843) 916-2278
Rock Hill,SC,McAlister's Deli,4 / 5,335 Herlong Avenue,TU,(803) 980-1717
Rock Hill,SC,Mcalister's Deli,- NA -,735 Addison Avenue,TU,(803) 329-0042
Greenville,SC,Henrys Smokehouse,- NA -,1842 Woodruff Rd,TU  WE  TH,(864) 213-9770
Greenville,SC,T.G.I. Fridays,- NA -,1114 Woodruff Rd,TU,(864) 675-1154
Isle Of Palms,SC,Acme Cantina,- NA -,31 J C Long Blvd,MO,(843) 886-0024
Conway,SC,Beef 'O' Brady's,- NA -,2676 Church St,TU,(843) 369-2228
Charleston,SC,Earth Fare,- NA -,74 Folly Road Blvd,TH,(843) 769-4800
Charleston,SC,Michelangelos Kitchen,- NA -,1749 Sam Rittenberg Blvd,TH,(843) 225-2128
Charleston,SC,Moes Southwest Grill,- NA -,1812 Sam Rittenberg Blvd,TU,(843) 225-6637
Florence,SC,Applebee's,- NA -,811 S Irby St,TU,(843) 678-9406
Columbia,SC,Beef O Bradys,- NA -,4561 Hard Scrabble Rd,TU,(803) 699-2525
Columbia,SC,Earth Fare,- NA -,3312B Devine St,TH,(803) 799-0048
Columbia,SC,Moes Southwest Grill,- NA -,470 Town Center Pl,TU,(803) 788-6639
Columbia,SC,Zaxbys,- NA -,9840 Two Notch Rd,TU,(803) 462-0013
West Mifflin,PA,Lonestar Steakhouse,- NA -,6111 Mountain View Road,TU,(412) 655-1986
Wilkes Barre,PA,Lonestar Steakhouse,- NA -,805 Kidder Street,TU,(570) 826-7080
Uniontown,PA,Ponderosa Steakhouse,- NA -,525 W. Main Street/Uniontown Mal,TU,(724) 438-7021
Washington,PA,Ponderosa Steakhouse,- NA -,1010 Trinity Circle,TU,(724) 228-0465
State College,PA,Ponderosa Steakhouse,- NA -,1630 South Atherton Rd,TU,(814) 237-5244
Pottstown,PA,Lonestar Steakhouse,- NA -,351 W. Schuylkill,TU,(610) 326-7725
Quakertown,PA,T.G.I. Fridays,- NA -,10 N West End Blvd,WE,(215) 529-4490
Pittsburgh,PA,Claddagh Irish Pub,- NA -,407 Cinema Dr,SU,(412) 381-4800
Pittsburgh,PA,Lonestar Steakhouse,- NA -,120 Andrew Drive,TU,(412) 494-9990
Phila,PA,South Philly Bar And Grill,- NA -,1235 E Passyunk Ave,TU,(215) 334-3300
Media,PA,Great American Pub,- NA -,9 State Rd,WE,(610) 940-0540
Monroeville,PA,Bob Evans Restaurant,- NA -,3735 William Penn Hwy,TU,(412) 856-8355
New Castle,PA,Ponderosa Steakhouse,- NA -,3300 Wilmington Rd,TU,(724) 652-8435
Meadville,PA,Perkins Restaurant & Bakery,- NA -,18276 Conneaut Lake Rd,SA,(814) 336-6000
Meadville,PA,Ponderosa Steakhouse,- NA -,17345 Conneaut Lake Rd,TU,(814) 724-7644
Kleinfeltersville,PA,K-Ville Hotel & Tavern,- NA -,201 West Main Street,TU,(717) 949-8413
Mars,PA,Lonestar Steakhouse,- NA -,926 Sheraton Drive,TU,(724) 779-4441
Langhorne,PA,Chick-fil-A,- NA -,2424 E Lincoln Hwy,TH,(215) 741-3500
Langhorne,PA,Dennys Restaurant,- NA -,640 E Lincoln Hwy,TU  SA,(215) 757-1115
Kittanning,PA,Ponderosa Steakhouse,- NA -,27 Franklin Village Mall,TU,(724) 543-2297
Indiana,PA,Ponderosa Steakhouse,- NA -,1416 Indian Springs Rd,TU,(724) 465-2641
Johnstown,PA,Lonestar Steakhouse,- NA -,510 Galleria Drive,TU,(814) 262-0707
Johnstown,PA,Ponderosa Steakhouse,- NA -,406 Galleria Dr.,TU,(814) 269-1331
Greensburg,PA,Ponderosa Steakhouse,- NA -,122 Donahoe Road,TU,(724) 837-1987
Hamarville,PA,Ponderosa Steakhouse,- NA -,2581 Freeport Rd,TU,(412) 828-0787
Klamath Falls,OR,Dickey's Barbecue Pit,- NA -,3930 S. 6th Street,SU,(541) 885-3000
Lake Oswego,OR,Chevy's Fresh Mex,- NA -,14991 Bangy Road,TU,(503) 620-7700
Salem,OR,Marie Callenders,- NA -,2615 Lancaster Dr NE,TU  SA,(503) 581-8421
Gibsonia,PA,North Park Lounge Clubhouse,- NA -,5301 Ranalli Dr,MO,(724) 449-9090
Gresham,OR,Marie Callenders,- NA -,305 NW Burnside Rd,TU  SA,(503) 669-8440
Gresham,OR,Original Roadhouse Grill,- NA -,2370 SE Burnside Road,TU,(503) 666-2624
Bend,OR,Bend Shilo Restaurant,- NA -,3105 NE O B Riley Rd,SA,(541) 389-9600
Bend,OR,IHOP,- NA -,30 NE Bend River Mall Dr,TH,(541) 317-9812
Bend,OR,LongBoard Louie's East,- NA -,62080 Dean Swift Road,SU  SA,(541) 383-5889
Hillsboro,OR,Mesk Investment,- NA -,849 NE 25th Ave,SU  MO  TU  WE  TH  FR  SA,(503) 648-3226
Chambersburg,PA,Ponderosa Steakhouse,- NA -,1110 Lincolnway East,MO  TU  WE  TH,(717) 263-8304
Eugene,OR,Countryside Pizza & Grill,- NA -,645 River Road,WE,(541) 463-7632
Eugene,OR,El Torito Mexican Restaurant,- NA -,1003 Valley River Way,SA,(541) 683-7294
Eugene,OR,Marie Callenders,- NA -,1300 Valley River Dr,TU  SA,(541) 484-7111
Beaverton,OR,Marie Callenders,- NA -,16261 NW Cornell Rd,TU  SA,(503) 439-8771
Folsom,PA,Chick-fil-A,- NA -,405 MacDade Boulevard,TU,(610) 586-1607
